fips,year,month_name,unemployment_rate,employment_rate
28,2020,May,11.5,88.5
28,2020,June,10.2,89.8
28,2020,July,9.2,90.8
28,2020,August,7.3,92.7
28,2020,September,7.1,92.9
28,2020,October,6.2,93.8
28,2020,November,6.1,93.9
28,2020,December,6.2,93.8
28,2021,January,6.6,93.4
28,2021,February,6.4,93.6
28,2021,March,6.2,93.8
28,2021,April,5.6,94.4
28,2021,May,5.8,94.2
28,2021,June,6.9,93.1
28,2021,July,6.2,93.8
28,2021,August,5.5,94.5
28,2021,September,4.6,95.4
28,2021,October,4.1,95.9
28,2021,November,3.6,96.4
28,2021,December,3.5,96.5
28,2022,January,4.6,95.4
28,2022,February,4.1,95.9
28,2022,March,3.4,96.6
28,2022,April,3.3,96.7
28,2022,May,3.6,96.4
28,2022,June,4.6,95.4
28,2022,July,4.4,95.6
28,2022,August,4.0,96.0
28,2022,September,3.7,96.3
28,2022,October,3.3,96.7
28,2022,November,3.3,96.7
28,2022,December,3.1,96.9
